vi_wseg,labels
"Hôm_nay , cả nhà Yôl đi suốt lúa . Mẹ và chị dậy sớm hơn mọi ngày . Mẹ nấu cơm còn chị thì sửa_soạn gùi , rựa . Trời chưa sáng nhưng cả nhà đã lên_đường . Vì Yôl bé nhất nhà nên em không phải mang gùi . Nó chỉ đeo một giỏ cơm nhỏ . Được đi suốt lúa , Yôl thích lắm . Yôl vừa đi vừa chạy . Mẹ bảo Yôl :",Usual
"Ông Mai_Thanh_Thắng , Phó Chủ_tịch UBND tỉnh ;",Politics
"Về việc thành_lập Hội_đồng xét công_nhận nghề truyền_thống , làng_nghề , làng_nghề truyền_thống trên địa_bàn tỉnh Bình_Định",Politics
"Chị Trần_Thị_Mỹ_Dung , Chủ_tịch Hội Nông_dân xã Vĩnh_Hoà là một trong những cán_bộ Hội gương_mẫu , tận_tuỵ với công_tác Hội và phong_trào nông_dân",Social
"Ở ngoài sân , bác Yôl đang nói_chuyện với một người lạ .",Usual
"Nâng cao năng_lực lãnh_đạo , sức chiến_đấu của tổ_chức cơ_sở Đảng , tiếp_tục tạo sự chuyển_biến rõ nét về chất_lượng hoạt_động của các Chi_bộ , làm cho tổ_chức cơ_sở Đảng vững_mạnh cả về chính_trị , tư_tưởng và tổ_chức , lành đạo thực_hiện tốt nhiệm_vụ chính_trị",Social
Trong đó : Phối giống bằng tinh bò Red_Angus : 54.050 con ; Phối giống bằng tinh bò BBB : 56.450 con .,Science
"Hoàng_hôn , mình đang đi học lớp 4 ở trường làng .",Usual
"Quản_lý tài_chính , tài_sản theo quy_định của pháp_luật .",Politics
Gần trưa bác có về nhà không ?,Usual
Hội_đồng làm_việc theo chế_độ tập_thể thông_qua các cuộc họp dưới sự chủ_trì của Chủ_tịch Hội_đồng hoặc Phó Chủ_tịch Hội_đồng ( khi được uỷ_quyền ) .,Politics
"Sáng ngày 27.4 , Đoàn công_tác UBND huyện do ông Huỳnh_Đức_Bảo , Phó Chủ_tịch UBND huyện làm trưởng_đoàn đã có buổi đi kiểm_tra tình_hình triển_khai công_tác phòng , chống dịch Covd-19 tại các Trường THCS trên địa_bàn huyện ngày đầu_tiên khi học_sinh đi học trở_lại sau thời_gian tạm nghỉ do dịch Covid-19",Politics
"Hoàng_hôn , Yôl cùng anh_trai sang thăm .",Usual
"Yôl rất thích xem ông làm_việc . Ông đan gùi mắt to gùi mắt nhỏ . Thứ để lúa bắp trong kho , thứ để mang đi rẫy .",Usual
Hôm_qua bà đan được chín cái .,Usual
"Ở ngoài sân , anh rể Yôl đang nói_chuyện với hai người lạ .",Usual
"Từ đó , người ta gọi tảng đá đó là đá Hơ_Biên .",Usual
Hôm_qua anh_trai đan được 8 cái .,Usual
"Làm_cỏ , xới đất : Để hạn_chế cạnh_tranh dinh_dưỡng giữa cây nho và cây_cỏ , nhằm chủ_động phòng_trừ sâu , bệnh cần phải làm_cỏ thường_xuyên và xới đất làm cho đất tơi , thoáng_khí .",Science
Anh rể Sá là người chăm_chỉ .,Usual
"Trưởng ban : Ông Nguyễn_Tuấn_Thanh , Phó Chủ_tịch UBND tỉnh Bình_Định .",Politics
Hoàng_hôn mới đan được ba cái .,Usual
"Căn_cứ dự_toán ngân_sách đã được Thủ_tướng Chính_phủ giao và phần ngân_sách địa_phương tự đảm_bảo , Sở Tài_chính chủ_trì phối_hợp với Sở Nông_nghiệp và PTNT lập dự_toán chi thực_hiện chính_sách theo Quyết_định 48/2010/QĐ-TTg ,",Politics
"UB Hội LHTN huyện Vĩnh_Thạnh tổ_chức Đại_hội đại_biểu Hội LHTN Việt_Nam huyện Vĩnh_thạnh lần thứ VIII , nhiệm_kỳ 2019 – 2024",Social
"Bên cạnh đó , UBND huyện còn chỉ_đạo cho ngành chức_năng đẩy_mạnh công_tác chuyển_giao tiến_bộ kỹ_thuật cho nông_dân , hướng_dẫn cho bà_con lựa_chọn cây_trồng - vật_nuôi phù_hợp",Science
"Cử_tri xã Vĩnh_Hoà đề_nghị UBND tỉnh có chính_sách ưu_đãi nâng mức vốn vay , kéo_dài thời_gian đáo_hạn và miễn , giảm lãi_suất cho vay đối_với các hộ dân_tộc_thiểu_số ngèo",Social
Bà cứ nghỉ ở nhà cho khoẻ .,Usual
"Bà_con phấn_khởi thi_đua lao_động sản_xuất , phát_triển chăn_nuôi , nhiều hộ đã xây_dựng được nhà ngói , mua_sắm được xe_máy , ti_vi , không ai phải lo thiếu cái ăn , cái mặc",Social
Căn_cứ Luật Người cao_tuổi ngày 23 tháng 11 năm 2009,Politics
"Bên cạnh những kết_quả đạt được , các đại_biểu cũng đã thảo_luận và đề ra các giải_pháp thực_hiện trong thời_gian tới như : MTTQ Việt_Nam từ huyện đến cơ_sở tiếp_tục phát_huy kết_quả đạt được , tích_cực triển_khai thực_hiện có hiệu_quả các giải_pháp , nhiệm_vụ đề ra trong những tháng cuối năm 2019",Politics
"Theo đó , HĐND xã tập_trung giám_sát các nội_dung : Công_tác thực_thi pháp_luật , đảm_bảo quốc_phòng an_ninh , công_tác chuẩn_bị năm_học mới …",Social
"Sự hy_sinh của bà_con rất lớn , Đảng và Nhà_nước luôn ghi_nhận , biểu_dương .",Social
"Hoàn_thiện , điều_chỉnh hệ_thống các tiêu_chuẩn , quy_chuẩn về giống phù_hợp với điều_kiện trong nước và luật_pháp quốc_tế .",Politics
"Đơn_vị quản_lý vận_hành nhà ở sinh_viên có trách_nhiệm thông_báo cho các cơ_sở đào_tạo và trên phương_tiện thông_tin_đại_chúng về địa_điểm , số_lượng chỗ ở , địa_chỉ nhận đơn và thời_hạn nhận đơn .",Politics
"Đến năm 2030 đón được 10 triệu lượt khách , trong đó có 1,8 triệu lượt khách quốc_tế , tốc_độ tăng_trưởng bình_quân khách_hàng năm đạt 6,1% / năm .",Social
"Kiểm_soát chặt_chẽ học_sinh , học_viên từ vùng dịch về địa_bàn huyện ; phát_hiện kịp_thời và báo ngay cho cơ_quan y_tế về trường_hợp nghi_ngờ , trường_hợp có dấu_hiệu bị bệnh để phòng , tránh nguy_cơ lây_lan dịch_bệnh",Social
Lúc nãy dượng đi chợ bán củi .,Usual
"Nhúng , phun thuốc đậu quả : Sau khi tỉa hoa xong nhúng hoặc phun thuốc đậu quả ngay để tăng khả_năng đậu quả . sử_dụng thuốc : Sistep VN .",Science
"Chú_trọng tập_huấn , bồi_dưỡng kỹ_năng PBGDPL , cập_nhật thông_tin , kiến_thức pháp_luật",Social
"Chủ_tịch UBND tỉnh yêu_cầu Thủ_trưởng các sở , ngành liên_quan và Chủ_tịch UBND các huyện , thị_xã , thành_phố tổ_chức thực_hiện tốt một_số nội_dung chủ_yếu sau đây :",Politics
"Ở ngoài sân , bà Yôl đang nói_chuyện với sáu người lạ .",Usual
"Tăng_cường kiểm_tra hoạt_động phúc_kiểm tại các chốt kiểm_dịch động_vật đầu_mối giao_thông , đảm_bảo thực_hiện đúng quy_trình kiểm_dịch theo quy_định .",Social
Mục_tiêu xây_dựng công_trình,Social
"Chỉ_đạo , điều_hành của Chính_phủ , Thủ_tướng Chính_phủ và của tỉnh , gắn với nhiệm_vụ chính_trị , công_tác xây_dựng , thi_hành và bảo_vệ pháp_luật thuộc trách_nhiệm của cơ_quan , đơn_vị , địa_phương .",Politics
Ngân_sách nhà_nước dự_kiến hỗ_trợ,Politics
"Khi sâu ở mật_độ cao , dùng một trong các loại thuốc sau để diệt_trừ : Sherpa 25EC , Cyperan 25 EC … liều dùng theo khuyến_cáo trên nhãn_mác .",Science
Làng có khoảng trên 6 mươi gia_đình người Kinh .,Social
Sau đó làm sạch đất_cát để không gây trở_ngại cho việc phân_loại hạt trong quá_trình chế_biến .,Science
Mức thu học_phí điều_chỉnh,Social
"Ở ngoài sân , chị Yôl đang nói_chuyện với 3 người lạ .",Usual
ầm_ầm ( tiếng voi rống ),Usual
"Bỗng_nhiên , Min_Địch nghe thấy một giọng nói ấm_áp :",Usual
"Lúc nãy , Yôl thường thả dê ở bãi có gần hồ , rồi đi lấy củi .",Usual
"Xế trưa , Yôl thường thả vịt ở bãi có gần hồ , rồi đi lấy củi .",Usual
Hôm_kìa mợ đi chợ bán củi .,Usual
Một bạn khác thích làm phi_công .,Usual
Hoàng_hôn mới đan được bốn cái .,Usual
"Hôm kỉa , Yôl thường thả gà ở bãi có gần hồ , rồi đi lấy củi .",Usual
"Cách đây mười năm , cũng như nhiều gia_đình Ba na khác , nhà bác Nam không phải là 1 gia_đình khá_giả .",Usual
Hôm_qua bác đan được 5 cái .,Usual
"Là một hoạt_động văn_hoá , thể_thao và du_lịch nhằm tôn_vinh các giá_trị truyền_thống của dân_tộc",Social
Là nơi lưu_giữ và quảng_bá Võ cổ_truyền Bình_Định ; góp_phần giữ_gìn và phát_huy bản_sắc văn_hoá dân_tộc,Social
"Lá non bị hại thì trên phiến_lá xuất_hiện các chấm màu đen , lá cong và biến_dạng và khô trên cây . Trên bề_mặt hạt non bị gây hại có những đốm tròn , nâu , hạt bị nhăn lại và khô . Quả bị gây hại thì bị rụng non . Vết chích của bọ_xít còn tạo điều_kiện cho nấm bệnh xâm_nhập .",Science
"Lúc đầu , tôi đang đi học lớp 1 ở trường làng .",Usual
Kinh_phí còn lại ( tối_đa 40% ) do người nông_dân đóng_góp .,Politics
"Kết_quả bước_đầu trong việc thực_hiện liên_thông giải_quyết thủ_tục hành_chính trên phần_mềm một cửa điện_tử , có sự tham_gia chặt_chẽ , đồng_bộ của các cơ_quan ngành_dọc , được người_dân , tổ_chức và các cơ_quan , cấp trên ghi_nhận , đánh_giá tốt",Politics
Căn_cứ Nghị_quyết số 04/2015/NQ-HĐND ngày 10/7/2015 của Hội_đồng_nhân_dân tỉnh khoá XI,Politics
"Nếu không phát_hiện sớm , phun thuốc đúng lúc và điều_trị triệt_để thì nấm có_thể làm tàn_lụi giàn lá , đọt non trước khi cắt cành , làm giảm diện_tích quang_hợp ảnh_hưởng đến năng_suất vụ tới .",Science
Buổi tối mới đan được chín cái .,Usual
"Buổi chiều , mình đang đi học lớp 4 ở trường làng .",Usual
"Về xây_dựng , quản_lý , khai_thác Tủ_sách pháp_luật , Chương_trình PBGDPL giai_đoạn 2017 - 2021 , các Chương_trình phối_hợp , Đề_án về PBGDPL , hoà_giải ở cơ_sở theo hướng tăng_cường công_tác quản_lý_nhà_nước",Politics
Chuẩn_bị vật_tư dự_trữ cho công_tác hộ_đê,Social
Hôm_qua ông đan được ba cái .,Usual
"Lúc trước , Yôl cùng chú sang thăm .",Usual
"Ở ngoài sân , ba Yôl đang nói_chuyện với 4 người lạ .",Usual
"Bây_giờ , mình đang đi học lớp bảy ở trường làng .",Usual
Không biết anh đi đâu .,Usual
"Những đêm rằm , cậu thường kể chuyện cho Yôl nghe .",Usual
"Lúc nãy , mình đang đi học lớp một ở trường làng .",Usual
Điều 5 . Điều_kiện về kích_thước thiết_kế mặt_cắt kênh kiên_cố_hoá được hỗ_trợ,Politics
"Lãnh_đạo các tỉnh , thành ;",Politics
Bà của Yôl biết rất nhiều chuyện dân_tộc Kinh .,Usual
"Thông_báo cụ_thể thời_gian , địa_điểm làm thủ_tục dự thi ; thu lệ_phí thi ; thời_gian , địa_điểm tổ_chức ôn_tập ( nếu có ) ;",Politics
"Nhằm chủ_động trong công_tác phòng_chống dịch trên địa_bàn huyện đ / c Lê_Văn_Đẩu , chủ_tịch UBND huyện - Trưởng BCD yêu_cầu các cơ_quan , đơn_vị và ngành chức_năng tiếp_tục tăng_cường công_tác tuyên_truyền nhằm định_hướng và giúp người_dân biết cách phòng_tránh dịch",Politics
Phóng_sự sau đây của Xuân_Dũng phản_ánh về niềm vui của người_dân khi công_trình kè chống xói_lở bờ sông Kôn được xây_dựng,Social
"Ngày 12.2 vừa_qua , Đảng_bộ xã Vĩnh_Thuận đã tổ_chức thành_công đại_hội lần thứ IV , nhiệm_kỳ 2020 - 2025",Social
"Trường Mẫu_giáo xã Vĩnh_Sơn là một trong những điểm trường còn nhiều khó_khăn của huyện Vĩnh_Thạnh , thiếu_thốn về trang_thiết_bị , dụng_cụ học_tập , đường_sá đi_lại còn khó_khăn",Social
Nhóm giải_pháp kinh_tế - kỹ_thuật ;,Politics
"Qua đó , góp_phần có hiệu_quả trong phòng_ngừa , đấu_tranh với tội_phạm , tệ_nạn xã_hội ; huy_động sức_mạnh tổng_hợp của cả hệ_thống chính_trị , của toàn dân vào công_tác phòng , chống tội_phạm",Social
"Ông Võ_Mai_Hưng , Phó Giám_đốc Sở Công_Thương",Politics
Tất_cả các thanh_niên nhập_ngũ đều đạt các tiêu_chuẩn về trình_độ văn_hoá và sức_khoẻ,Social
Làng có khoảng trên 8 mươi gia_đình người Kinh .,Social
Hàng tháng phát_động đợt ra_quân vệ_sinh và tiêu độc sát_trùng môi_trường phòng_chống dịch_bệnh do virus corona và dịch_bệnh động_vật thuộc địa_bàn . Vận_động người chăn_nuôi tích_cực duy_trì công_tác này .,Social
"Chú_ý các chính_sách , chế_độ khuyến_khích các võ_sư cao_niên trao truyền các bài võ , thuốc võ",Social
"Nàng ngẩng đâu lên thấy 1 con trăn khổng_lồ ở trước mặt , hai mắt nó sáng_quắc .",Usual
"Nhờ sự nỗ_lực của Đảng_bộ , chính_quyền , nhân_dân địa_phương đã khắc_phục những khó_khăn , thách_thức , phát_huy nội_lực , để vươn lên phát_triển",Social
"Theo đó , mục_tiêu của Nghị_quyết HĐND huyện năm 2020 , tổng_sản_phẩm địa_phương tăng 14,6% , trong đó nông – lâm_nghiệp và thuỷ_sản tăng 6,4% ; công_nghiệp – tiểu_thủ_công_nghiệp tăng 23,4% ; thương_mại dịch_vụ và du_lịch tăng 19,1% : Thu_nhập bình_quân đầu người 30,737 triệu đồng / năm ; tổng vốn đầu_tư phát_triển 161.154 triệu đồng ; tổng_thu ngân_sách 263.597 triệu đồng , trong đó thu ngân_sách địa_phương 88.720 triệu đồng ; phấn_đấu giảm tỷ_lệ hộ nghèo xuống dưới 30% ; tỷ_lệ trẻ_em dưới 5 tuổi suy_dinh_dưỡng giảm dưới 10%",Social
"Được diễn ra từ ngày 08/8/2019 đến ngày 11/8/2019 tại thành_phố Quy_Nhơn và các huyện , thị_xã trong tỉnh .",Social
"Phát_huy vai_trò là trung_tâm xây_dựng khối đại_đoàn_kết dân_tộc , MTTQ Việt_Nam huyện Vĩnh_Thạnh đã tích_cực vận_động nhân_dân tham_gia xây_dựng chính_quyền ngày_càng vững_mạnh , thực_hiện tốt quy_chế dân_chủ ở cơ_sở , góp_phần thực_hiện thắng_lợi mục_tiêu phát_triển KT-XH ở địa_phương",Social
Buổi sáng mới đan được năm cái .,Usual
Quyết_định số 2519 / QĐ-BNN-KHCN ngày 29 tháng 6 năm 2018 của Bộ_trưởng Bộ Nông_nghiệp và Phát_triển nông_thôn ( có Phụ_lục kèm theo ) .,Politics
Bà đang đan hai cái nữa .,Usual
"Tranh_thủ vốn hỗ_trợ của Trung_ương , vốn ODA , ngân_sách của tỉnh , cấp huyện , các nhà_đầu_tư và các nguồn vốn hợp_pháp khác .",Politics
1 đàn bướm trắng_nhởn nhơ bay .,Usual
"Thực_hiện tốt công_tác huy_động trẻ_em DTTS đến trường đúng tuổi , vận_động số học_sinh người DTTS bỏ học trở_lại_trường",Social
"Sáng nay , tôi đang đi học lớp năm ở trường làng .",Usual
Kinh_phí chi thường_xuyên sự_nghiệp giáo_dục cho các trường từ mầm_non đến trung_học_phổ_thông được chuyển_đổi loại_hình,Social
"Rác_thải thu_gom được chị_em xử_lý bằng cách đốt , hoặc được tập_kết ra khu_vực thuận_tiện để vận_chuyển đi nơi khác tiêu_huỷ , nhiều gia_đình bước_đầu xây_dựng được thói_quen , ý_thức vệ_sinh môi_trường trong cộng_đồng",Social
"Ban Dân_tộc tỉnh phối_hợp với Sở Văn_hoá , Thể_thao và Du_lịch và các sở , ban , ngành , đoàn_thể liên_quan",Politics
"Hội_nghị , đào_tạo , tập_huấn : 372.000.000 đồng",Social
Đồng_thời tham_gia công_tác quảng_bá thương_hiệu Bình_Định thông_qua việc đón_tiếp khách tham_quan,Social
Kế_hoạch số 86 / KH-UBND ngày 17/10/2019 của UBND tỉnh Bình_Định thực_hiện Đề_án cơ_cấu lại ngành du_lịch đáp_ứng nhu_cầu phát_triển thành ngành kinh_tế mũi_nhọn trên địa_bàn tỉnh theo Quyết_định 1685 / QĐ-TTg ngày 05/12/2018 của Thủ_tướng Chính_phủ .,Politics
"Vì_vậy , việc xây_dựng nông_thôn mới đặt ra mục_tiêu , tiêu_chí cho các vùng nông_thôn cũng vừa là thách_thức vừa là động_lực , là cơ_hội để bộ_mặt nông_thôn khởi_sắc trên đà phát_triển",Social
"Bên cạnh công_tác chuyên_môn , cô Hà đối_với nhiều học_sinh như một người bạn đặc_biệt .",Usual
"Rừng đem lại cho chúng_ta gỗ để làm nhà_cửa , củi để đun_nấu .",Usual
"Hôm nọ , Yôl ra vườn cùng bố .",Usual
Ông đang đan mười cái nữa .,Usual
"Đây là khu bến chính của cảng biển Quy_Nhơn , bao_gồm : Đầu_tư nâng_cấp Bến Quy_Nhơn , Bến Tân_Cảng Quy_Nhơn , Bến Thị_Nại , Bến Tân_Cảng miền Trung , Bến Đống_Đa .",Social
"Kết_luận hội_nghị , đ / c Hồ_Xuân_Ánh , TUV , Bí_thư Huyện_uỷ nhấn_mạnh , năm 2020 các đơn_vị cần tập_trung cao trong thực_hiện nhiệm_vụ , nhất_là bảo_đảm an_toàn tuyệt_đối trong tổ_chức Đại_hội Đảng các cấp , nhiệm_kỳ 2020 - 2025",Politics
Buổi sáng bác đi chợ bán củi .,Usual
"Việc đóng_góp ý_kiến của các cơ_quan , tổ_chức , cán_bộ , đảng_viên và nhân_dân trong huyện vào các dự_thảo văn_kiện đại_hội đảng_bộ các cấp , nhất_là Đại_hội XVIII Đảng_bộ huyện , Đại_hội XX Đảng_bộ tỉnh và Đại_hội XIII của Đảng .",Politics
"Hướng_dẫn các chủ đầu_tư dự_án nhà ở sinh_viên sử_dụng thiết_kế mẫu , thiết_kế điển_hình ;",Social
"Hiện_nay , tình_hình thời_tiết đang chuyển dần sang mùa mưa_bão , tình_hình rét lạnh , lụt_bão có_thể xảy ra bất_cứ lúc_nào , điều_kiện thời_tiết diễn_biến phức_tạp sẽ tác_động bất_lợi đến sự sinh_trưởng , phát_triển của đàn gia_súc , gia_cầm và là nguyên_nhân phát_sinh dịch_bệnh .",Social
"Tổng_hợp , báo_cáo kết_quả định_kỳ và đột_xuất :",Politics
"Ngày_xưa , có hai con quỷ cùng tên là Prôm thường xuống vùng sông Kôn để ăn thịt dân_làng Ba na . Thỉnh_thoảng , chúng còn xuôi xuống tận hạ_lưu để ăn thịt người Chăm .",Usual
"Và chi_phí học_tập khác không vượt quá 5% thu_nhập bình_quân hộ gia_đình ở mỗi vùng ,",Social
"Có đứa đến từ chập_tối , lấy chổi quét sạch chỗ trước .",Usual
Thế đi cắt cỏ_gianh phải mang gì đi ?,Usual
Sở Giáo_dục và Đào_tạo,Education
"Như mọi chủ_nhật , lúc đó Yôl ngủ dậy muộn .",Usual
Bà ấy đã lấy chồng ở làng bên nên thường về thăm nhà .,Usual
Làng có khoảng trên tám mươi gia_đình người Ba na .,Social
"Điều 3 . Chánh Văn_phòng UBND tỉnh , Giám_đốc các Sở :",Politics
"Có_thể nói , sau 15 năm qua tái định_cư , tình_hình kinh_tế - xã_hội ở xã vùng_cao Vĩnh_Thuận có nhiều chuyển_biến tích_cực , quốc_phòng - an_ninh đảm_bảo , đời_sống vật_chất và tinh_thần của người_dân được cải_thiện đáng_kể , góp_phần xây_dựng Đảng , xây_dựng chính_quyền trong_sạch , vững_mạnh",Social
"Có lúc thì theo sau , lúc thì vụt chạy lên trước , có_vẻ vui_thích lắm .",Usual
"Lúc đầu , Yôl cùng chị_gái sang thăm .",Usual
"Đối_với những địa_phương có tỷ_lệ đồng_bào dân_tộc_thiểu_số cao và ở cách xa trung_tâm huyện như xã Vĩnh_Sơn , Vĩnh_Kim , Trung_tâm y_tế huyện đã triển_khai đồng_loạt các giải_pháp , nhằm đảm_bảo cho nhu_cầu chăm_sóc sức_khoẻ tốt nhất cho người_dân ở đây",Social
"Đến thăm làng Tà_Điệk , xã Vĩnh_Hảo , có_thể dễ_dàng nhận ra những đổi_thay trong đời_sống của đồng_bào Bana ở đây từ những ngôi nhà mái ngói đỏ tươi , từ những con đường hoa được bà_con trồng và chăm_sóc tạo nên cảnh quang tươi_mát của ngôi làng vùng_cao",Social
"Trong quá_trình tổ_chức thực_hiện kế_hoạch , nếu cần_thiết sửa_đổi , bổ_sung những nội_dung cụ_thể , các sở , ban , ngành , cơ_quan , đơn_vị , địa_phương có liên_quan đề_xuất kịp_thời về Sở Nông_nghiệp và Phát_triển nông_thôn để tổng_hợp , báo_cáo Uỷ_ban_nhân_dân tỉnh xem_xét , quyết_định",Politics
Chú_ý : Sử_dụng thuốc theo nồng_độ ghi ở nhãn thuốc .,Science
Hôm_qua chú đan được mười cái .,Usual
Hôm_qua anh rể đan được 100 cái .,Usual
"Sau 3 - 4 lứa thấy cánh mộc_nhĩ mỏng , bé thì ngừng tưới 2 - 3 tuần để khô gỗ rồi chăm_sóc tiếp như lúc đầu_ra giàn .",Science
"Đứng trên công_trình kè chống xói_lở bờ sông Kôn đang được xây_dựng , bà_con ở đây ai cũng cảm_thấy rất vui_mừng vì từ nay hình_ảnh thường dòng lũ xiết cuốn cây rừng xô ầm_ầm vào tường nhà , hay những mảng đất lở cuốn theo hoa_màu vào lòng_sông Kôn vào mỗi mùa mưa_lũ sẽ không còn nữa",Social
Làng có khoảng trên một trăm gia_đình người Ba na .,Social
